objectId,createdAt,updatedAt,ACL,Manufacturer,Aircraft_Model,Country
q0zWxxekd6,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:09:25 GMT-0500 (GMT-05:00),null,Champion Aircraft Corporation,,BXkZTl2omc
B3DquHibv9,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 09:57:48 GMT-0500 (GMT-05:00),null,Beechcraft,,BXkZTl2omc
FPFiZW5aZC,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 09:57:32 GMT-0500 (GMT-05:00),null,Bell,,BXkZTl2omc
EZLIJ3KIeJ,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:07:47 GMT-0500 (GMT-05:00),null,Avro International Aerospace,,asMYxtQNZx
UeBaJoCkC5,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 09:58:14 GMT-0500 (GMT-05:00),null,Cirrus,,BXkZTl2omc
QwthjRtAzQ,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:05:43 GMT-0500 (GMT-05:00),null,Aerospatiale,,vBQFvgbzPX
ZbJgwBWmMY,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:04:10 GMT-0500 (GMT-05:00),null,British Aircraft Corporation,,asMYxtQNZx
3U16JN6hEf,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:01:14 GMT-0500 (GMT-05:00),null,Airbus,,vBQFvgbzPX
28oWZ0CudV,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:02:45 GMT-0500 (GMT-05:00),null,Antonov,,vg1c2CxgQ3
Nj6EjCb8TF,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:08:26 GMT-0500 (GMT-05:00),null,Beriev Aircraft Company,,vg1c2CxgQ3
JpqipcQe8h,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 09:57:34 GMT-0500 (GMT-05:00),null,Boeing,,BXkZTl2omc
4hiy4aXTVl,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:08:38 GMT-0500 (GMT-05:00),null,Bombardier,,mTtBWeeHCo
9Pg7saxo4m,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:05:07 GMT-0500 (GMT-05:00),null,Aeroprakt,,CzhIuuHOMH
cEz8U6HMM1,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:20:17 GMT-0500 (GMT-05:00),null,Indonesian Aerospace,,pOykqMaxZB
wU2qYA6unf,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:06:52 GMT-0500 (GMT-05:00),null,Aquila,,cXVjaWqsnY
snCrGHoBiQ,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:15:44 GMT-0500 (GMT-05:00),null,Hawker Beechcraft Corporation,,BXkZTl2omc
JD1ztm5wOc,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 09:58:10 GMT-0500 (GMT-05:00),null,Cessna,,BXkZTl2omc
02LxwYgIgd,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:04:09 GMT-0500 (GMT-05:00),null,British Aerospace,,asMYxtQNZx
ueRJCpoFmO,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 09:59:32 GMT-0500 (GMT-05:00),null,Embraer,,qq2ryXaIYG
Qp7H7JdhDr,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:14:39 GMT-0500 (GMT-05:00),null,Fokker,,9FyUSGZNnf
5lSUdoUKe0,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:00:44 GMT-0500 (GMT-05:00),null,Eurocopter,,vBQFvgbzPX
XUY6btf2Ih,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:11:42 GMT-0500 (GMT-05:00),null,De Havilland Aircraft of Canada,,mTtBWeeHCo
RqxhrPIJkU,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:14:12 GMT-0500 (GMT-05:00),null,Evektor-Aerotechnik,,FIdcKBVyI3
R7AG30vDbv,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:15:20 GMT-0500 (GMT-05:00),null,Government Aircraft Factories,,8lauBzPLI5
Y8sxc9clDE,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:09:38 GMT-0500 (GMT-05:00),null,China Commercial Aircraft,,jPsWdF78Gn
VzWIOVaGhp,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:10:35 GMT-0500 (GMT-05:00),null,Convair,,BXkZTl2omc
TSOZIQEUGw,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:11:30 GMT-0500 (GMT-05:00),null,Diamond Aircraft Industries,,sbCG0KlS9w
6pFSgjNx6v,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:00:36 GMT-0500 (GMT-05:00),null,Dassault Falcon,,vBQFvgbzPX
4JUSgjDB9I,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:10:56 GMT-0500 (GMT-05:00),null,Curtiss-Wright,,BXkZTl2omc
zbBAGakQcN,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 09:58:53 GMT-0500 (GMT-05:00),null,McDonnell Douglas,,BXkZTl2omc
nYA7ZRfSwq,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:16:20 GMT-0500 (GMT-05:00),null,ICON,,BXkZTl2omc
2RRgKWBwtm,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:20:29 GMT-0500 (GMT-05:00),null,Israel Aircraft Industries,,4lBFb6Wpq5
0RLz0HsYTy,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:11:55 GMT-0500 (GMT-05:00),null,Dornier Luftfahrt,,cXVjaWqsnY
31sWGCrBvd,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:03:07 GMT-0500 (GMT-05:00),null,Mil Moscow Helicopter Plant,,vg1c2CxgQ3
2KIYN4WCnr,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:23:51 GMT-0500 (GMT-05:00),null,Short Brothers,,asMYxtQNZx
ue9Mjwc6Fl,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:03:01 GMT-0500 (GMT-05:00),null,Ilyushin,,vg1c2CxgQ3
HF4EwhPN9W,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:03:11 GMT-0500 (GMT-05:00),null,Russian Aircraft Corporation MiG,,vg1c2CxgQ3
PeDk7E8xjc,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:15:41 GMT-0500 (GMT-05:00),null,Grumman,,BXkZTl2omc
zneYgtb337,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:22:21 GMT-0500 (GMT-05:00),null,Pilatus Aircraft,,c2ZdW21DZq
fSB6qvn35h,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 09:58:52 GMT-0500 (GMT-05:00),null,MD Helicopters,,BXkZTl2omc
nat7WePZrz,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 09:58:34 GMT-0500 (GMT-05:00),null,Learjet,,BXkZTl2omc
8q2efOAmiB,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:17:27 GMT-0500 (GMT-05:00),null,Piper Aircraft,,BXkZTl2omc
pAJAeeYcMm,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:15:01 GMT-0500 (GMT-05:00),null,GippsAero,,8lauBzPLI5
DBckAmnnkI,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 09:58:27 GMT-0500 (GMT-05:00),null,Gulfstream,,BXkZTl2omc
DfrdTMUF2Q,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:02:26 GMT-0500 (GMT-05:00),null,Honda,,UN9yBtQstI
uVGSdMBQ7q,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:09:55 GMT-0500 (GMT-05:00),null,Harbin Aircraft Industry Group,,jPsWdF78Gn
m8O2sVnuCW,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:07:17 GMT-0500 (GMT-05:00),null,Avions Robin,,vBQFvgbzPX
ysRBZ6P42t,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 09:58:48 GMT-0500 (GMT-05:00),null,Lockheed Corporation,,BXkZTl2omc
7JLGUZvySY,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:03:20 GMT-0500 (GMT-05:00),null,Yakovlev,,vg1c2CxgQ3
7OwMTAwmlY,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:25:22 GMT-0500 (GMT-05:00),null,TL Ultralight,,FIdcKBVyI3
v9L1lfGUy5,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:09:07 GMT-0500 (GMT-05:00),null,Britten-Norman,,asMYxtQNZx
PWtYShEr8i,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:22:57 GMT-0500 (GMT-05:00),null,Pipistrel,,oQQC8mAbuz
fgUOqZ1MJ2,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:02:21 GMT-0500 (GMT-05:00),null,Nihon Aircraft Manufacturing Corporation,,UN9yBtQstI
48rdGnc3bh,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:21:56 GMT-0500 (GMT-05:00),null,Let Kunovice,,FIdcKBVyI3
K42zCHFKme,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:02:20 GMT-0500 (GMT-05:00),null,Mitsubishi,,UN9yBtQstI
q5mlIDOZVV,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:17:47 GMT-0500 (GMT-05:00),null,Team Rocket,,BXkZTl2omc
ahukFhbnkl,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:21:16 GMT-0500 (GMT-05:00),null,Junkers,,cXVjaWqsnY
2nums1uWWN,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 09:59:00 GMT-0500 (GMT-05:00),null,Sikorsky,,BXkZTl2omc
xSJKNvHqg8,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:03:18 GMT-0500 (GMT-05:00),null,Tupolev,,vg1c2CxgQ3
Mr0agrOFIW,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:24:37 GMT-0500 (GMT-05:00),null,Socata,,vBQFvgbzPX
YmOKxCZLwP,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:23:21 GMT-0500 (GMT-05:00),null,Saab,,220UohZbeo
vSet1TOLEs,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:25:54 GMT-0500 (GMT-05:00),null,Tecnam,,hOu7Is3jvO
eAmTmGEEcG,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:19:51 GMT-0500 (GMT-05:00),null,Piaggio Aero,,hOu7Is3jvO
39QhRiHjDA,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:03:40 GMT-0500 (GMT-05:00),null,Sukhoi,,vg1c2CxgQ3
nPltHNZtEC,Tue Jan 28 2020 20:15:54 GMT-0500 (GMT-05:00),Wed Jan 29 2020 10:19:16 GMT-0500 (GMT-05:00),null,Vulcanair,,hOu7Is3jvO
