objectId,WingType,Model,ACL,updatedAt,Manufacturer,IATACode,ICAOCode,Aircraft_Manufacturer,Type,createdAt
KKQogNDTkt,Fixed Wing,Airbus A350-1000,null,Tue Jan 28 2020 20:18:19 GMT-0500 (GMT-05:00),Airbus,351,A35K,3U16JN6hEf,Airplane,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
DzAJRumklj,Fixed Wing,Antonov AN-124 Ruslan,null,Tue Jan 28 2020 20:19:31 GMT-0500 (GMT-05:00),Antonov,A4F,A124,28oWZ0CudV,Airplane,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
6j8sk9NKZG,Fixed Wing,Airbus A330-900neo,null,Tue Jan 28 2020 20:18:20 GMT-0500 (GMT-05:00),Airbus,339,A339,3U16JN6hEf,Airplane,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
I6JZsb2N6V,Fixed Wing,Airbus A320neo,null,Tue Jan 28 2020 20:18:17 GMT-0500 (GMT-05:00),Airbus,32N,A20N,3U16JN6hEf,Airplane,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
ioeTdDRqUt,Rotary Wing,Bell 212,null,Tue Jan 28 2020 20:21:33 GMT-0500 (GMT-05:00),Bell,BH2,B212,FPFiZW5aZC,Helicopter,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
NAWOZcAAov,Fixed Wing,Airbus A330-300,null,Tue Jan 28 2020 20:18:21 GMT-0500 (GMT-05:00),Airbus,333,A333,3U16JN6hEf,Airplane,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
5J3qv1az8V,Fixed Wing,Boeing 737-400,null,Tue Jan 28 2020 20:21:57 GMT-0500 (GMT-05:00),Boeing,734,B734,JpqipcQe8h,Airplane,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
GXRE1d4nwH,Fixed Wing,Airbus A310-200,null,Tue Jan 28 2020 20:18:24 GMT-0500 (GMT-05:00),Airbus,312,A310,3U16JN6hEf,Airplane,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
QOE4U04uKG,Fixed Wing,Boeing 737-600,null,Tue Jan 28 2020 20:21:56 GMT-0500 (GMT-05:00),Boeing,736,B736,JpqipcQe8h,Airplane,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
domj4hLnGY,Fixed Wing,Aerospatiale/Alenia ATR 72,null,Tue Jan 28 2020 20:17:47 GMT-0500 (GMT-05:00),Aerospatiale,AT7,AT72,QwthjRtAzQ,Airplane,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
2LrpHHQAwI,Fixed Wing,"8KCAB Decathlon, 8GCBC Scout",null,Tue Jan 28 2020 20:17:35 GMT-0500 (GMT-05:00),Aeroprakt,N/A,BL8,9Pg7saxo4m,Airplane,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
HxYZDxv19I,Fixed Wing,Aerospatiale/Alenia ATR 42-500,null,Tue Jan 28 2020 20:17:50 GMT-0500 (GMT-05:00),Aerospatiale,AT5,AT45,QwthjRtAzQ,Airplane,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
ZnOHQeHhro,Fixed Wing,BAe 146-300,null,Tue Jan 28 2020 20:24:48 GMT-0500 (GMT-05:00),British Aerospace,143,B463,MxhGOYq83B,Airplane,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
RZOdhHBlq6,Fixed Wing,Aquila A 210,null,Tue Jan 28 2020 20:20:02 GMT-0500 (GMT-05:00),Aquila,N/A,A210,wU2qYA6unf,Airplane,Tue Jan 28 2020 17:36:37 GMT-0500 (GMT-05:00)
